sensorName,lat,long,transmitDateTime,CO,NO2,NH3,TDS,turbidity
prototype,47.653132,-122.306114,2025-03-12 13:36:48,4.548008,0.733992,0.144487,80.758934,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:52,4.546316,0.728955,0.144248,81.386894,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:36:57,4.548008,0.729317,0.144582,81.073784,4.998779
dummy,47.65637,-122.30964,2025-03-12 13:37:02,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 13:37:07,4.548008,0.667518,0.143589,80.446083,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:37:12,4.557432,0.710720,0.144248,80.602730,4.998779
dummy,47.65637,-122.30964,2025-03-12 13:37:17,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 13:37:36,4.516485,0.720703,0.146122,81.857948,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:37:41,4.508831,0.691951,0.146604,82.014671,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:37:46,4.516485,0.716284,0.146507,81.544403,4.998779
dummy,47.65637,-122.30964,2025-03-12 13:37:47,2.00,4.00,3.00,0.0,0.0
prototype,47.653132,-122.306114,2025-03-12 13:37:51,4.527467,0.721675,0.146169,81.387589,4.998779
prototype,47.653132,-122.306114,2025-03-12 13:37:56,4.527573,0.743754,0.146507,81.230774,4.998779
dummy,47.65637,-122.30964,2025-03-12 13:38:02,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-12 13:38:17,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-12 13:38:32,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-12 13:38:47,2.00,4.00,3.00,0.0,0.0
dummy,47.65637,-122.30964,2025-03-12 13:39:02,2.00,4.00,3.00,0.0,0.0
